===== Training started at 0 =====
Batch size: 2, LR: 5e-05, Epochs: 10
Steps per file: 50, Grad. accum: 4, Warmup rate: 0.1
Validation dataset loaded with 128 steps, using seed 42, max files 128, steps/file 1, batch size 8
Total validation batches: 16
Warmup steps: 3750, Total optimizer steps: 37500
[Epoch 1] step 0 loss 0.2815 lr 0.000000
[Epoch 1] step 100 loss 0.3302 lr 0.000000
[Epoch 1] step 200 loss 0.2997 lr 0.000001
[Epoch 1] step 300 loss 0.1311 lr 0.000001
[Epoch 1] step 400 loss 0.3537 lr 0.000001
[Epoch 1] step 500 loss 0.1642 lr 0.000002
[Epoch 1] step 600 loss 0.4767 lr 0.000002
[Epoch 1] step 700 loss 0.2410 lr 0.000002
[Epoch 1] step 800 loss 0.1813 lr 0.000003
[Epoch 1] step 900 loss 0.1127 lr 0.000003
[Epoch 1] step 1000 loss 0.2320 lr 0.000003
[Epoch 1] step 1100 loss 0.1256 lr 0.000004
[Epoch 1] step 1200 loss 0.1975 lr 0.000004
[Epoch 1] step 1300 loss 0.1071 lr 0.000004
[Epoch 1] step 1400 loss 0.0968 lr 0.000005
[Epoch 1] step 1500 loss 0.0790 lr 0.000005
[Epoch 1] step 1600 loss 0.0595 lr 0.000005
[Epoch 1] step 1700 loss 0.1386 lr 0.000006
[Epoch 1] step 1800 loss 0.2627 lr 0.000006
[Epoch 1] step 1900 loss 0.0457 lr 0.000006
[Epoch 1] step 2000 loss 0.0601 lr 0.000007
[Epoch 1] step 2100 loss 0.0678 lr 0.000007
[Epoch 1] step 2200 loss 0.1076 lr 0.000007
[Epoch 1] step 2300 loss 0.2220 lr 0.000008
[Epoch 1] step 2400 loss 0.0577 lr 0.000008
[Epoch 1] step 2500 loss 0.0699 lr 0.000008
[Epoch 1] step 2600 loss 0.0376 lr 0.000009
[Epoch 1] step 2700 loss 0.0744 lr 0.000009
[Epoch 1] step 2800 loss 0.0408 lr 0.000009
[Epoch 1] step 2900 loss 0.0596 lr 0.000010
[Epoch 1] step 3000 loss 0.1476 lr 0.000010
[Epoch 1] step 3100 loss 0.0232 lr 0.000010
[Epoch 1] step 3200 loss 0.1095 lr 0.000011
[Epoch 1] step 3300 loss 0.0636 lr 0.000011
[Epoch 1] step 3400 loss 0.0387 lr 0.000011
[Epoch 1] step 3500 loss 0.0524 lr 0.000012
[Epoch 1] step 3600 loss 0.0763 lr 0.000012
[Epoch 1] step 3700 loss 0.0671 lr 0.000012
[Epoch 1] step 3800 loss 0.0359 lr 0.000013
[Epoch 1] step 3900 loss 0.0548 lr 0.000013
[Epoch 1] step 4000 loss 0.0093 lr 0.000013
[Epoch 1] step 4100 loss 0.0538 lr 0.000014
[Epoch 1] step 4200 loss 0.0424 lr 0.000014
[Epoch 1] step 4300 loss 0.0716 lr 0.000014
[Epoch 1] step 4400 loss 0.0141 lr 0.000015
[Epoch 1] step 4500 loss 0.0625 lr 0.000015
[Epoch 1] step 4600 loss 0.0433 lr 0.000015
[Epoch 1] step 4700 loss 0.1956 lr 0.000016
[Epoch 1] step 4800 loss 0.0357 lr 0.000016
[Epoch 1] step 4900 loss 0.0618 lr 0.000016
[Epoch 1] step 5000 loss 0.0692 lr 0.000017
[Epoch 1] step 5100 loss 0.0388 lr 0.000017
[Epoch 1] step 5200 loss 0.0847 lr 0.000017
[Epoch 1] step 5300 loss 0.0339 lr 0.000018
[Epoch 1] step 5400 loss 0.0312 lr 0.000018
[Epoch 1] step 5500 loss 0.1851 lr 0.000018
[Epoch 1] step 5600 loss 0.0393 lr 0.000019
[Epoch 1] step 5700 loss 0.0240 lr 0.000019
[Epoch 1] step 5800 loss 0.0148 lr 0.000019
[Epoch 1] step 5900 loss 0.0372 lr 0.000020
[Epoch 1] step 6000 loss 0.0668 lr 0.000020
[Epoch 1] step 6100 loss 0.0220 lr 0.000020
[Epoch 1] step 6200 loss 0.0977 lr 0.000021
[Epoch 1] step 6300 loss 0.2170 lr 0.000021
[Epoch 1] step 6400 loss 0.0275 lr 0.000021
[Epoch 1] step 6500 loss 0.0451 lr 0.000022
[Epoch 1] step 6600 loss 0.1357 lr 0.000022
[Epoch 1] step 6700 loss 0.0200 lr 0.000022
[Epoch 1] step 6800 loss 0.0299 lr 0.000023
[Epoch 1] step 6900 loss 0.0323 lr 0.000023
[Epoch 1] step 7000 loss 0.0528 lr 0.000023
[Epoch 1] step 7100 loss 0.0282 lr 0.000024
[Epoch 1] step 7200 loss 0.0228 lr 0.000024
[Epoch 1] step 7300 loss 0.1589 lr 0.000024
[Epoch 1] step 7400 loss 0.0299 lr 0.000025
[Epoch 1] step 7500 loss 0.0032 lr 0.000025
[Epoch 1] step 7600 loss 0.0555 lr 0.000025
[Epoch 1] step 7700 loss 0.0471 lr 0.000026
[Epoch 1] step 7800 loss 0.0233 lr 0.000026
[Epoch 1] step 7900 loss 0.0453 lr 0.000026
[Epoch 1] step 8000 loss 0.0510 lr 0.000027
[Epoch 1] step 8100 loss 0.0519 lr 0.000027
[Epoch 1] step 8200 loss 0.0583 lr 0.000027
[Epoch 1] step 8300 loss 0.0930 lr 0.000028
[Epoch 1] step 8400 loss 0.0635 lr 0.000028
[Epoch 1] step 8500 loss 0.0365 lr 0.000028
[Epoch 1] step 8600 loss 0.0251 lr 0.000029
[Epoch 1] step 8700 loss 0.0411 lr 0.000029
[Epoch 1] step 8800 loss 0.0274 lr 0.000029
[Epoch 1] step 8900 loss 0.0467 lr 0.000030
[Epoch 1] step 9000 loss 0.0310 lr 0.000030
