global_step,epoch,train_loss,val_loss,val_accuracy,learning_rate
5000,1,0.030673,0.219630,0.433594,0.00001667
10000,1,0.042294,0.214463,0.437500,0.00003333
15000,1,0.060392,0.218848,0.464844,0.00005000
15000,1,0.083308,,,0.00005000
20000,2,0.031724,0.229588,0.468750,0.00004815
25000,2,0.128904,0.239649,0.457031,0.00004630
30000,2,0.145554,0.247831,0.441406,0.00004444
30000,2,0.066097,,,0.00004444
35000,3,0.033379,0.252108,0.449219,0.00004259
40000,3,0.026655,0.258493,0.441406,0.00004074
45000,3,0.147463,0.232715,0.468750,0.00003889
45000,3,0.069913,,,0.00003889
50000,4,0.127659,0.248574,0.457031,0.00003704
55000,4,0.069330,0.259730,0.468750,0.00003519
60000,4,0.058573,0.252358,0.472656,0.00003333
60000,4,0.070836,,,0.00003333
65000,5,0.043779,0.267621,0.480469,0.00003148
70000,5,0.063194,0.257058,0.476562,0.00002963
75000,5,0.027249,0.254378,0.523438,0.00002778
75000,5,0.069196,,,0.00002778
