===== Training started at 0 =====
Batch size: 2, LR: 5e-05, Epochs: 10
Steps per file: 50, Grad. accum: 4, Warmup rate: 0.1
Validation dataset loaded with 128 steps, using seed 42, max files 128, steps/file 1, batch size 8
Total validation batches: 16
Warmup steps: 3750, Total optimizer steps: 37500
[Epoch 1] step 0 loss 0.2552 lr 0.000000
[Epoch 1] step 100 loss 0.1904 lr 0.000000
[Epoch 1] step 200 loss 0.4714 lr 0.000001
[Epoch 1] step 300 loss 0.5190 lr 0.000001
[Epoch 1] step 400 loss 0.2777 lr 0.000001
[Epoch 1] step 500 loss 0.4989 lr 0.000002
[Epoch 1] step 600 loss 0.4558 lr 0.000002
[Epoch 1] step 700 loss 0.1897 lr 0.000002
[Epoch 1] step 800 loss 0.1187 lr 0.000003
[Epoch 1] step 900 loss 0.1422 lr 0.000003
[Epoch 1] step 1000 loss 0.1553 lr 0.000003
[Epoch 1] step 1100 loss 0.2082 lr 0.000004
[Epoch 1] step 1200 loss 0.0572 lr 0.000004
[Epoch 1] step 1300 loss 0.1181 lr 0.000004
[Epoch 1] step 1400 loss 0.1607 lr 0.000005
[Epoch 1] step 1500 loss 0.0443 lr 0.000005
[Epoch 1] step 1600 loss 0.0733 lr 0.000005
[Epoch 1] step 1700 loss 0.1227 lr 0.000006
[Epoch 1] step 1800 loss 0.0561 lr 0.000006
[Epoch 1] step 1900 loss 0.0805 lr 0.000006
[Epoch 1] step 2000 loss 0.0671 lr 0.000007
[Epoch 1] step 2100 loss 0.1138 lr 0.000007
[Epoch 1] step 2200 loss 0.1048 lr 0.000007
[Epoch 1] step 2300 loss 0.1598 lr 0.000008
[Epoch 1] step 2400 loss 0.0254 lr 0.000008
[Epoch 1] step 2500 loss 0.1288 lr 0.000008
[Epoch 1] step 2600 loss 0.0630 lr 0.000009
[Epoch 1] step 2700 loss 0.0299 lr 0.000009
[Epoch 1] step 2800 loss 0.2629 lr 0.000009
[Epoch 1] step 2900 loss 0.1473 lr 0.000010
