global_step,epoch,train_loss,val_loss,val_accuracy,learning_rate
15000,1,0.085040,,,0.00005000
18000,2,0.049164,0.213792,0.453125,0.00004889
21000,2,0.111262,0.230612,0.445312,0.00004778
24000,2,0.043996,0.258965,0.445312,0.00004667
27000,2,0.168985,0.253417,0.468750,0.00004556
30000,2,0.090854,0.250009,0.460938,0.00004444
30000,2,0.068203,,,0.00004444
33000,3,0.109139,0.242324,0.445312,0.00004333
36000,3,0.051885,0.237262,0.496094,0.00004222
39000,3,0.078240,0.238655,0.484375,0.00004111
42000,3,0.006440,0.230438,0.476562,0.00004000
45000,3,0.041303,0.215843,0.511719,0.00003889
45000,3,0.068948,,,0.00003889
48000,4,0.022947,0.238314,0.460938,0.00003778
51000,4,0.103752,0.231502,0.484375,0.00003667
54000,4,0.091978,0.238085,0.484375,0.00003556
57000,4,0.143159,0.222254,0.468750,0.00003444
60000,4,0.021986,0.221687,0.472656,0.00003333
60000,4,0.066172,,,0.00003333
63000,5,0.045124,0.228612,0.484375,0.00003222
66000,5,0.054684,0.220965,0.492188,0.00003111
69000,5,0.077830,0.212463,0.507812,0.00003000
72000,5,0.053171,0.234870,0.492188,0.00002889
75000,5,0.040123,0.231664,0.484375,0.00002778
75000,5,0.063612,,,0.00002778
78000,6,0.079501,0.219385,0.496094,0.00002667
81000,6,0.031789,0.220603,0.511719,0.00002556
84000,6,0.055256,0.228282,0.488281,0.00002444
87000,6,0.049105,0.223462,0.500000,0.00002333
90000,6,0.159842,0.212995,0.507812,0.00002222
90000,6,0.062473,,,0.00002222
93000,7,0.037720,0.214453,0.527344,0.00002111
96000,7,0.048034,0.212078,0.515625,0.00002000
99000,7,0.019300,0.207693,0.546875,0.00001889
102000,7,0.059980,0.198522,0.488281,0.00001778
105000,7,0.068412,0.203054,0.531250,0.00001667
105000,7,0.059408,,,0.00001667
108000,8,0.058648,0.203765,0.546875,0.00001556
111000,8,0.045921,0.202106,0.535156,0.00001444
114000,8,0.128666,0.343055,0.511719,0.00001333
