===== Training started at 0 =====
Batch size: 2, LR: 1e-05, Epochs: 10
Steps per file: 50, Grad. accum: 4, Warmup rate: 0.1
Validation dataset loaded with 128 steps, using seed 42, max files 128, steps/file 1, batch size 8
Total validation batches: 16
Warmup steps: 3750, Total optimizer steps: 37500
[Epoch 1] step 0 loss 1.1965 lr 0.000000
[Epoch 1] step 100 loss 0.5275 lr 0.000000
[Epoch 1] step 200 loss 0.2345 lr 0.000000
[Epoch 1] step 300 loss 0.2926 lr 0.000000
[Epoch 1] step 400 loss 0.3564 lr 0.000000
[Epoch 1] step 500 loss 0.4167 lr 0.000000
[Epoch 1] step 600 loss 0.6093 lr 0.000000
[Epoch 1] step 700 loss 0.2473 lr 0.000000
[Epoch 1] step 800 loss 0.2599 lr 0.000001
[Epoch 1] step 900 loss 0.1408 lr 0.000001
[Epoch 1] step 1000 loss 0.2600 lr 0.000001
[Epoch 1] step 1100 loss 0.1164 lr 0.000001
[Epoch 1] step 1200 loss 0.1232 lr 0.000001
[Epoch 1] step 1300 loss 0.1218 lr 0.000001
[Epoch 1] step 1400 loss 0.1972 lr 0.000001
[Epoch 1] step 1500 loss 0.0696 lr 0.000001
[Epoch 1] step 1600 loss 0.1853 lr 0.000001
[Epoch 1] step 1700 loss 0.1431 lr 0.000001
[Epoch 1] step 1800 loss 0.0946 lr 0.000001
[Epoch 1] step 1900 loss 0.1063 lr 0.000001
[Epoch 1] step 2000 loss 0.0860 lr 0.000001
[Epoch 1] step 2100 loss 0.1197 lr 0.000001
[Epoch 1] step 2200 loss 0.0566 lr 0.000001
[Epoch 1] step 2300 loss 0.0669 lr 0.000002
[Epoch 1] step 2400 loss 0.1672 lr 0.000002
[Epoch 1] step 2500 loss 0.0444 lr 0.000002
[Epoch 1] step 2600 loss 0.1180 lr 0.000002
[Epoch 1] step 2700 loss 0.1053 lr 0.000002
[Epoch 1] step 2800 loss 0.1818 lr 0.000002
[Epoch 1] step 2900 loss 0.1775 lr 0.000002
[Epoch 1] step 3000 loss 0.0575 lr 0.000002
[Epoch 1] step 3100 loss 0.1129 lr 0.000002
[Epoch 1] step 3200 loss 0.0551 lr 0.000002
[Epoch 1] step 3300 loss 0.2785 lr 0.000002
[Epoch 1] step 3400 loss 0.1039 lr 0.000002
[Epoch 1] step 3500 loss 0.2011 lr 0.000002
[Epoch 1] step 3600 loss 0.0555 lr 0.000002
[Epoch 1] step 3700 loss 0.0766 lr 0.000002
[Epoch 1] step 3800 loss 0.0844 lr 0.000003
[Epoch 1] step 3900 loss 0.1156 lr 0.000003
[Epoch 1] step 4000 loss 0.1085 lr 0.000003
[Epoch 1] step 4100 loss 0.1442 lr 0.000003
[Epoch 1] step 4200 loss 0.0374 lr 0.000003
[Epoch 1] step 4300 loss 0.0519 lr 0.000003
[Epoch 1] step 4400 loss 0.0164 lr 0.000003
[Epoch 1] step 4500 loss 0.0731 lr 0.000003
[Epoch 1] step 4600 loss 0.0272 lr 0.000003
[Epoch 1] step 4700 loss 0.1743 lr 0.000003
[Epoch 1] step 4800 loss 0.0985 lr 0.000003
[Epoch 1] step 4900 loss 0.0430 lr 0.000003
[Validation] global_step 5000 loss 0.2830 accuracy 0.4023
Validation accuracy improved from 0.0000 to 0.4023, Validation loss improved from inf to 0.2830
[Epoch 1] step 5000 loss 0.3122 lr 0.000003
[Epoch 1] step 5100 loss 0.0510 lr 0.000003
[Epoch 1] step 5200 loss 0.0313 lr 0.000003
[Epoch 1] step 5300 loss 0.1217 lr 0.000004
[Epoch 1] step 5400 loss 0.0176 lr 0.000004
[Epoch 1] step 5500 loss 0.0524 lr 0.000004
[Epoch 1] step 5600 loss 0.0429 lr 0.000004
[Epoch 1] step 5700 loss 0.0349 lr 0.000004
[Epoch 1] step 5800 loss 0.0597 lr 0.000004
[Epoch 1] step 5900 loss 0.0889 lr 0.000004
[Epoch 1] step 6000 loss 0.1013 lr 0.000004
[Epoch 1] step 6100 loss 0.1284 lr 0.000004
[Epoch 1] step 6200 loss 0.0534 lr 0.000004
[Epoch 1] step 6300 loss 0.0613 lr 0.000004
[Epoch 1] step 6400 loss 0.0625 lr 0.000004
[Epoch 1] step 6500 loss 0.0214 lr 0.000004
[Epoch 1] step 6600 loss 0.0359 lr 0.000004
[Epoch 1] step 6700 loss 0.0562 lr 0.000004
[Epoch 1] step 6800 loss 0.0398 lr 0.000005
[Epoch 1] step 6900 loss 0.0629 lr 0.000005
[Epoch 1] step 7000 loss 0.0079 lr 0.000005
[Epoch 1] step 7100 loss 0.0028 lr 0.000005
[Epoch 1] step 7200 loss 0.0155 lr 0.000005
[Epoch 1] step 7300 loss 0.0485 lr 0.000005
[Epoch 1] step 7400 loss 0.0664 lr 0.000005
[Epoch 1] step 7500 loss 0.0651 lr 0.000005
[Epoch 1] step 7600 loss 0.0972 lr 0.000005
[Epoch 1] step 7700 loss 0.0548 lr 0.000005
[Epoch 1] step 7800 loss 0.1493 lr 0.000005
[Epoch 1] step 7900 loss 0.0627 lr 0.000005
[Epoch 1] step 8000 loss 0.0405 lr 0.000005
[Epoch 1] step 8100 loss 0.0908 lr 0.000005
[Epoch 1] step 8200 loss 0.0668 lr 0.000005
[Epoch 1] step 8300 loss 0.0760 lr 0.000006
[Epoch 1] step 8400 loss 0.0448 lr 0.000006
[Epoch 1] step 8500 loss 0.0034 lr 0.000006
[Epoch 1] step 8600 loss 0.0210 lr 0.000006
[Epoch 1] step 8700 loss 0.0687 lr 0.000006
[Epoch 1] step 8800 loss 0.0060 lr 0.000006
[Epoch 1] step 8900 loss 0.0238 lr 0.000006
[Epoch 1] step 9000 loss 0.0638 lr 0.000006
[Epoch 1] step 9100 loss 0.0559 lr 0.000006
[Epoch 1] step 9200 loss 0.0499 lr 0.000006
[Epoch 1] step 9300 loss 0.1485 lr 0.000006
[Epoch 1] step 9400 loss 0.1454 lr 0.000006
[Epoch 1] step 9500 loss 0.2241 lr 0.000006
[Epoch 1] step 9600 loss 0.1103 lr 0.000006
[Epoch 1] step 9700 loss 0.0651 lr 0.000006
[Epoch 1] step 9800 loss 0.0966 lr 0.000007
[Epoch 1] step 9900 loss 0.0707 lr 0.000007
[Validation] global_step 10000 loss 0.2052 accuracy 0.4492
Validation accuracy improved from 0.4023 to 0.4492, Validation loss improved from 0.2830 to 0.2052
[Epoch 1] step 10000 loss 0.0279 lr 0.000007
[Epoch 1] step 10100 loss 0.0122 lr 0.000007
[Epoch 1] step 10200 loss 0.1583 lr 0.000007
[Epoch 1] step 10300 loss 0.0360 lr 0.000007
[Epoch 1] step 10400 loss 0.0389 lr 0.000007
[Epoch 1] step 10500 loss 0.0095 lr 0.000007
[Epoch 1] step 10600 loss 0.0382 lr 0.000007
[Epoch 1] step 10700 loss 0.0348 lr 0.000007
[Epoch 1] step 10800 loss 0.1014 lr 0.000007
[Epoch 1] step 10900 loss 0.0315 lr 0.000007
[Epoch 1] step 11000 loss 0.0732 lr 0.000007
[Epoch 1] step 11100 loss 0.0266 lr 0.000007
[Epoch 1] step 11200 loss 0.0420 lr 0.000007
[Epoch 1] step 11300 loss 0.0427 lr 0.000008
[Epoch 1] step 11400 loss 0.0673 lr 0.000008
[Epoch 1] step 11500 loss 0.0669 lr 0.000008
