global_step,epoch,train_loss,val_loss,val_accuracy,learning_rate
5000,1,0.072242,0.282979,0.402344,0.00000333
10000,1,0.048484,0.205246,0.449219,0.00000667
15000,1,0.020023,0.190428,0.445312,0.00001000
15000,1,0.098330,,,0.00001000
20000,2,0.112161,0.186703,0.468750,0.00000963
25000,2,0.021037,0.192271,0.476562,0.00000926
30000,2,0.060100,0.197577,0.484375,0.00000889
30000,2,0.055578,,,0.00000889
35000,3,0.072462,0.210296,0.425781,0.00000852
40000,3,0.024307,0.224945,0.480469,0.00000815
45000,3,0.050767,0.245929,0.472656,0.00000778
45000,3,0.060258,,,0.00000778
50000,4,0.040535,0.246274,0.472656,0.00000741
55000,4,0.083825,0.353376,0.480469,0.00000704
