===== Training started at 0 =====
Batch size: 2, LR: 5e-05, Epochs: 10
Steps per file: 50, Grad. accum: 4, Warmup rate: 0.1
Validation dataset loaded with 128 steps, using seed 42, max files 128, steps/file 1, batch size 8
Total validation batches: 16
Warmup steps: 3750, Total optimizer steps: 37500
[Epoch 1] step 0 loss 0.3878 lr 0.000000
[Epoch 1] step 100 loss 0.6660 lr 0.000000
[Epoch 1] step 200 loss 0.2659 lr 0.000001
[Epoch 1] step 300 loss 0.2506 lr 0.000001
[Epoch 1] step 400 loss 0.3883 lr 0.000001
[Epoch 1] step 500 loss 0.3189 lr 0.000002
[Epoch 1] step 600 loss 0.2090 lr 0.000002
[Epoch 1] step 700 loss 0.0909 lr 0.000002
[Epoch 1] step 800 loss 0.2492 lr 0.000003
[Epoch 1] step 900 loss 0.1243 lr 0.000003
[Epoch 1] step 1000 loss 0.0472 lr 0.000003
[Epoch 1] step 1100 loss 0.0690 lr 0.000004
[Epoch 1] step 1200 loss 0.1363 lr 0.000004
[Epoch 1] step 1300 loss 0.1971 lr 0.000004
[Epoch 1] step 1400 loss 0.0993 lr 0.000005
[Epoch 1] step 1500 loss 0.0753 lr 0.000005
[Epoch 1] step 1600 loss 0.0499 lr 0.000005
[Epoch 1] step 1700 loss 0.1086 lr 0.000006
[Epoch 1] step 1800 loss 0.1079 lr 0.000006
[Epoch 1] step 1900 loss 0.0290 lr 0.000006
[Epoch 1] step 2000 loss 0.0999 lr 0.000007
[Epoch 1] step 2100 loss 0.0312 lr 0.000007
[Epoch 1] step 2200 loss 0.0154 lr 0.000007
[Epoch 1] step 2300 loss 0.0783 lr 0.000008
[Epoch 1] step 2400 loss 0.0773 lr 0.000008
[Epoch 1] step 2500 loss 0.0312 lr 0.000008
[Epoch 1] step 2600 loss 0.0168 lr 0.000009
[Epoch 1] step 2700 loss 0.0545 lr 0.000009
[Epoch 1] step 2800 loss 0.0750 lr 0.000009
[Epoch 1] step 2900 loss 0.1228 lr 0.000010
[Epoch 1] step 3000 loss 0.0563 lr 0.000010
[Epoch 1] step 3100 loss 0.0265 lr 0.000010
[Epoch 1] step 3200 loss 0.1765 lr 0.000011
[Epoch 1] step 3300 loss 0.2084 lr 0.000011
[Epoch 1] step 3400 loss 0.0374 lr 0.000011
[Epoch 1] step 3500 loss 0.1563 lr 0.000012
[Epoch 1] step 3600 loss 0.0709 lr 0.000012
[Epoch 1] step 3700 loss 0.0342 lr 0.000012
[Epoch 1] step 3800 loss 0.0837 lr 0.000013
[Epoch 1] step 3900 loss 0.0244 lr 0.000013
[Epoch 1] step 4000 loss 0.0532 lr 0.000013
